Romence Kelime,Kelime Türü,İngilizce Anlamı,Türkçe Anlamı,Örnek Cümle
abandona,fiil,abandon,"(birini/birşeyi) bırakmak, terk etmek, vazgeçmek",Abandonezi studiile?
abdomen,isim,abdomen,karın,Face exerciții pentru abdomen.
abona (se),fiil,subscribe,"abone etmek, abone olmak",Profesorul îi abonează pe elevi la revista școlii.
abonament,isim,season ticket,"abonman, kart",Am abonament pentru autobuz.
absent(ă),sıfat,"absent, missing",yok,George este absent.
absență,isim,absence,yokluk,Elevul acesta are multe absențe.
absolvent(ă),isim,graduate,mezun,El este absolvent de filologie.
absurd(ă),sıfat,absurd,"saçma, absürd",Aceasta este o idee absurdă.
abundent(ă),sıfat/zarf,"abundant, heavily","bol, bereketli, yoğun",Ploile abundente strică recoltele.
ac,isim,needle,iğne,Bag ața în ac.
acasă,zarf,home,ev,Astăzi stăm acasă.
accelera,fiil,speed up,hızlanmak,Sportivii accelerează la finalul cursei.
accelerat,isim,high-speed,hızlı,Trenul accelerat numărul 452 oprește în stație.
accent,isim,"accent, stress, emphasis","vurgu, önem",Profesorul pune accent pe gramatică.
accepta,fiil,accept,kabul etmek,El acceptă invitația la teatru.
acces,isim,access,erişim,Astăzi nu avem acces în universitate.
accident,isim,accident,kaza,Ieri am văzut un accident grav.
achita,fiil,pay,ödemek,Noi achităm facturile la timp.
"acel(a), acea (aceea)",zamir,"that, those","şu, o",Acel băiat este fratele meu.
"acest(a), această (aceasta)",sıfat/zamir,"this, these",bu,Această fată este sora mea.
acolo,zarf,there,"şurada/şurası, orada/orası",Acolo este Facultatea de Litere.
acoperi,fiil,cover,"kapamak, kapatmak, örtmek, sermek",Am acoperit piscina.
acoperiș,isim,roof,çatı,Acoperișul casei este nou.
acord,isim,"agreement, approval",anlaşma,Dansez pe acorduri de chitară.
"acru, acră",sıfat,sour,ekşi,Lămâile sunt acre.
act,isim,document,belge,Am pregătit actele pentru control.
activ(ă),sıfat,active,aktif,El este o persoană activă.
activitate,isim,activity,etkinlik,În weekend avem multe activități.
actor,isim,actor,"oyuncu, aktör",Actorii au jucat bine.
actriță,isim,actress,"oyuncu, aktör",Demi Moore este o actriță celebră.
actual(ă),sıfat,current,"güncel, şimdiki, aktüel",Perioada actuală este dificilă.
acționa,fiil,act,harekete geçmek,El nu a acționat corect în această situație.
acțiune,isim,action,hareket,Am văzut un film de acțiune.
acum,zarf,now,şimdi,Acum nu plouă.
acvariu,isim,"acquarium, tank",akvaryum,Acasă am un acvariu mare cu mulți pești.
adapta (se),fiil,"adapt, adjust","uyarlanmak, adapte olmak, uyum sağlamak, uydurmak",Nu a adaptat viteza la condițiile de drum.
adăuga,fiil,add,"eklemek, ilave etmek",El adaugă sare în mâncare.
adânc(ă),sıfat,deep,derin,Lacul este adânc.
adecvat(ă),sıfat,adequate,uygun,A dat răspunsuri adecvate cerinței.
adesea,zarf,often,sıkça,Îl văd adesea în parc.
adevărat(ă),sıfat,TRUE,gerçek,Aceasta este o poveste adevărată.
adevărat,zarf,TRUE,doğru,Este adevărat că a divorțat.
adeverință,isim,certificate,"sertifika, belge",Secretara a semnat adeverințele.
adică,zarf,that is,yani,"E din România, adică e român."
adineauri,zarf,just now,"demin, biraz önce",Mama a venit adineauri.
admira,fiil,admire,"takdir etmek, hayran olmak",Ioana admiră clădirile vechi din Constanța.
admitere,isim,entrance,giriş sınavı,A luat notă mare la admitere.
adormi,fiil,fall asleep,"uyumak, uyuyakalmak",Copilul a adormit repede.
adresă,isim,address,"adres, yer",Nu știu adresa lui Mihai.
aduce,fiil,bring,getirmek,Chelnerul aduce mâncarea.
adult,isim,adult,"olgun, yetişkin",Filmul este pentru adulți.
aduna,fiil,"add up, gather",toplamak,Maria adună flori din grădină.
adunare,isim,"gathering, addition","toplantı, toplama işlemi",George nu participă niciodată la adunări publice.
aer,isim,air,hava,Aerul este curat.
aerisi,fiil,air,havalandırmak,Aerisesc dormitorul în fiecare dimineață.
aeroport,isim,airport,havalanı,A ajuns devreme la aeroport.
afacere,isim,business,iş,El are o afacere de succes.
afară,zarf/edat öbeği,"outside, in addition to","dışarı, -den başka, ...dışında",Afară este cald.
afină,isim,blueberry,ayı üzümü,Am cules multe afine din pădure.
afirma,fiil,"state, assert","iddia etmek, ileri sürmek",Iancu a afirmat că demisionează.
afirmativ,zarf,affirmative,olumlu,A răspuns afirmativ solicitărilor.
afirmație,isim,statement,iddia,Trebuie verificate afirmațiile acestea.
afiș,isim,"poster, notice",afiş,Informațiile despre spectacol sunt pe afiș.
afla,fiil,"find out, be (located)","bilgi edinmek, öğrenmek","La curs, am aflat informații noi."
agendă,isim,"diary, agenda","günlük, ajanda",A cumpărat o agendă albastră.
agenție,isim,agency,ajans,Am cumpărat bilete de la agenția de voiaj.
agita,fiil,"agitate, shake","sallamak, çalkalanmak",Barmanul agită sticla.
agitație,isim,fuss,"kargaşa, telaş",Pe plajă este multă agitație vara.
aglomerat(ă),sıfat,crowded,kalabalık,Autobuzele sunt aglomerate vara.
agresiv(ă),sıfat,aggressive,"saldırgan, agresif",Câinele este agresiv.
aici,zarf,here,burada,Aici este farmacia.
ajunge,fiil,"get, reach","varmak, yetişmek",Am ajuns acasă.
ajuta,fiil,help,yardım,O ajut pe mama la bucătărie.
ajutor,isim,"help, aid","yardım, katkı, destek",Nu are nevoie de ajutorul meu.
alarmă,isim,alarm,alarm,A pornit alarma de incendiu.
alături,zarf,"next to, near(by)",yan,El locuiește alături.
alb(ă),sıfat,white,beyaz,Am o pisică albă.
"albastru, albastră",sıfat,blue,mavi,Caietul albastru este pe masă.
albină,isim,bee,arı,Suntem harnici ca albinele.
album,isim,album,albüm,A pus fotografiile în albumul de familie.
